YY    mm  dd      SunHour   TemAver    TemMax     TemMin  WindSpeed    MaxWind   Humidity   Rainfall   Pressure   MaxPress   MinPress   SoilTemp      EVP
Äê    ÔÂ  ÈÕ          h         oC         oC         oC        m/s        m/s          %        mm        hPa        hPa        hPa        oC        mm
1958   3  25        7.7       22.6       28.8       19.0        1.5    32766.0       62.0        0.0    32766.0    32766.0    32766.0   32766.0       7.1
1958   3  26        7.3       21.0       30.5       17.0        3.0    32766.0       68.0        0.2    32766.0    32766.0    32766.0   32766.0       7.4
1958   3  27        2.5       12.1       17.7        9.0        4.0    32766.0       70.0        0.5    32766.0    32766.0    32766.0   32766.0       4.9
1958   3  28        6.6       11.0       17.4        6.5        3.8    32766.0       63.0        0.0    32766.0    32766.0    32766.0   32766.0       5.6
1958   3  29        8.8       13.0       20.7        6.6        3.5    32766.0       69.0        0.0    32766.0    32766.0    32766.0   32766.0       6.5
1958   3  30        0.0       13.9       16.2       12.5        3.3    32766.0       82.0        0.0    32766.0    32766.0    32766.0   32766.0       2.3
1958   3  31        0.0       18.0       22.4       15.2        3.5    32766.0       76.0        0.6    32766.0    32766.0    32766.0   32766.0       4.1
1958   4   1        7.2       18.8       25.9       13.4        2.8    32766.0       71.0        0.2    32766.0    32766.0    32766.0   32766.0       5.6
1958   4   2        9.6       16.4       23.9       11.4        1.0    32766.0       74.0        9.0    32766.0    32766.0    32766.0   32766.0       7.3
1958   4   3        4.1       18.8       24.2       13.3        0.8    32766.0       79.0        0.8    32766.0    32766.0    32766.0   32766.0       4.1
1958   4   4        7.5       22.4       30.6       17.6        3.0    32766.0       73.0        0.1    32766.0    32766.0    32766.0   32766.0       8.9
1958   4   5        9.9       22.1       31.2       14.9        1.8    32766.0       62.0        0.0    32766.0    32766.0    32766.0   32766.0       8.6
1958   4   6        2.7       19.8       24.8       16.0        1.5    32766.0       66.0        0.0    32766.0    32766.0    32766.0   32766.0       6.0
1958   4   7        0.6       18.3       22.6       15.5        2.0    32766.0       78.0        0.0    32766.0    32766.0    32766.0   32766.0       3.4
1958   4   8        7.8       22.7       30.0       17.0        3.5    32766.0       70.0        0.0    32766.0    32766.0    32766.0   32766.0       8.6
1958   4   9        0.0       16.3       24.1       13.6        3.3    32766.0       87.0       24.2    32766.0    32766.0    32766.0   32766.0       9.0
1958   4  10        0.0       13.4       16.9       10.4        4.0    32766.0       80.0        0.0    32766.0    32766.0    32766.0   32766.0       3.9
1958   4  11        0.0       11.7       15.2        9.8        2.3    32766.0       86.0        0.1    32766.0    32766.0    32766.0   32766.0       1.6
1958   4  12        0.0       12.3       16.6        9.8        3.0    32766.0       77.0        0.0    32766.0    32766.0    32766.0   32766.0       4.1
1958   4  13        6.6       14.1       18.8        9.9        2.5    32766.0       67.0        0.1    32766.0    32766.0    32766.0   32766.0       5.7
1958   4  14       11.4       16.5       24.3        9.1        1.8    32766.0       68.0        0.0    32766.0    32766.0    32766.0   32766.0       7.0
1958   4  15       11.1       18.6       29.4        8.3        2.0    32766.0       63.0        0.0    32766.0    32766.0    32766.0   32766.0       9.8
1958   4  16       10.5       20.9       30.3       10.0        2.5    32766.0       50.0        0.0    32766.0    32766.0    32766.0   32766.0      12.1
1958   4  17       10.4       19.9       27.4       11.2        2.0    32766.0       66.0        0.0    32766.0    32766.0    32766.0   32766.0       9.1
1958   4  18        9.8       20.8       28.3       14.9        3.0    32766.0       68.0        0.0    32766.0    32766.0    32766.0   32766.0       9.9
1958   4  19        9.5       23.2       31.3       13.4        3.0    32766.0       61.0        0.0    32766.0    32766.0    32766.0   32766.0      10.2
1958   4  20       10.3       24.3       32.0       17.0        3.5    32766.0       61.0        0.0    32766.0    32766.0    32766.0   32766.0      11.1
1958   4  21       10.9       23.5       30.3       15.4        2.3    32766.0       66.0        3.9    32766.0    32766.0    32766.0   32766.0       9.7
1958   4  22        7.6       24.8       30.9       19.6        2.5    32766.0       62.0        0.0    32766.0    32766.0    32766.0   32766.0       7.0
1958   4  23       10.9       27.5       35.0       20.1        4.8    32766.0       41.0        0.0    32766.0    32766.0    32766.0   32766.0      17.7
1958   4  24        9.5       24.7       29.8       20.7        1.5    32766.0       53.0        0.0    32766.0    32766.0    32766.0   32766.0      12.2
1958   4  25       11.3       22.5       32.8       12.6        2.8    32766.0       65.0        0.0    32766.0    32766.0    32766.0   32766.0      11.0
1958   4  26        3.5       22.3       28.8       16.4        5.8    32766.0       68.0        0.0    32766.0    32766.0    32766.0   32766.0       8.9
1958   4  27       10.3       17.2       23.6       11.7        4.0    32766.0       57.0        0.0    32766.0    32766.0    32766.0   32766.0       9.6
1958   4  28        1.1       20.0       23.7       17.3        5.3    32766.0       68.0        0.0    32766.0    32766.0    32766.0   32766.0       7.2
1958   4  29        2.8       22.9       27.0       19.3        2.5    32766.0       67.0        0.0    32766.0    32766.0    32766.0   32766.0       6.9
1958   4  30        0.2       19.3       23.5       15.8        2.0    32766.0       79.0        4.9    32766.0    32766.0    32766.0   32766.0       4.5
1958   5   1        0.5       19.9       22.1       16.4        2.8    32766.0       78.0        9.2    32766.0    32766.0    32766.0      21.2       4.8
1958   5   2        0.0       16.9       19.3       15.4        0.8    32766.0       88.0        3.6    32766.0    32766.0    32766.0      18.9       1.9
1958   5   3        0.0       17.2       19.5       15.4        1.5    32766.0       91.0        4.0    32766.0    32766.0    32766.0      19.4       1.8
1958   5   4        2.1       19.7       25.8       16.1        0.5    32766.0       87.0        0.8    32766.0    32766.0    32766.0      21.6       2.5
1958   5   5        6.1       23.1       30.1       20.4        2.5    32766.0       76.0        0.0    32766.0    32766.0    32766.0      23.7       7.8
1958   5   6        2.5       19.6       24.5       15.7        1.5    32766.0       86.0       65.4    32766.0    32766.0    32766.0      22.3      10.9
1958   5   7        7.1       22.8       27.5       18.5        1.8    32766.0       77.0        0.2    32766.0    32766.0    32766.0      24.8       5.7
1958   5   8        9.8       23.5       31.3       18.3        2.3    32766.0       76.0        1.3    32766.0    32766.0    32766.0      25.3       8.2
1958   5   9       10.6       27.0       32.4       21.5        3.8    32766.0       59.0        0.0    32766.0    32766.0    32766.0      26.4      12.3
1958   5  10       10.6       25.1       31.2       18.8        2.5    32766.0       64.0        0.0    32766.0    32766.0    32766.0      27.1       9.9
1958   5  11        0.0       20.4       27.9       17.9        4.3    32766.0       79.0        0.0    32766.0    32766.0    32766.0      22.2       7.5
1958   5  12        0.0       11.6       18.0       10.2        3.0    32766.0       85.0        7.0    32766.0    32766.0    32766.0      15.0       2.7
1958   5  13        0.0       11.5       14.9        8.6        2.8    32766.0       97.0        1.9    32766.0    32766.0    32766.0      15.1       0.9
1958   5  14        0.0       12.5       14.9       10.1        3.3    32766.0       87.0        2.2    32766.0    32766.0    32766.0      14.8       1.9
1958   5  15        5.8       17.1       22.4       12.5        1.3    32766.0       79.0        1.1    32766.0    32766.0    32766.0      20.7       4.8
